"Date","Price","Open","High","Low","Change %"
"Aug 24, 2018","122.400","123.360","123.360","122.400","-1.25%"
"Aug 23, 2018","123.945","122.195","124.565","122.105","1.24%"
"Aug 22, 2018","122.425","124.725","124.725","122.425","-0.02%"
"Aug 21, 2018","122.455","122.455","122.455","122.455","0.00%"
"Aug 20, 2018","122.455","124.455","124.455","122.295","-1.01%"
"Aug 18, 2018","123.710","123.710","123.710","123.710","0.00%"
"Aug 17, 2018","123.710","124.260","124.410","122.100","0.33%"
"Aug 16, 2018","123.300","123.500","123.500","121.750","-0.32%"
"Aug 15, 2018","123.700","123.710","124.490","122.540","-0.11%"
"Aug 14, 2018","123.835","122.915","124.515","122.795","0.75%"
"Aug 13, 2018","122.915","124.725","124.725","122.675","-0.84%"
"Aug 11, 2018","123.950","123.950","123.950","123.950","0.00%"
"Aug 10, 2018","123.950","124.560","124.590","122.710","-0.08%"
"Aug 09, 2018","124.050","124.860","124.860","123.010","0.01%"
"Aug 08, 2018","124.040","123.690","124.630","123.280","-0.05%"
"Aug 07, 2018","124.100","124.200","124.550","122.550","0.90%"
"Aug 06, 2018","122.995","124.845","125.045","122.325","-0.79%"
"Aug 04, 2018","123.980","123.980","123.980","123.980","0.00%"
"Aug 03, 2018","123.980","124.410","124.660","122.190","0.86%"
"Aug 02, 2018","122.925","122.895","124.615","122.895","-0.55%"
"Aug 01, 2018","123.600","124.410","125.190","122.910","-0.37%"
"Jul 31, 2018","124.060","122.300","124.630","122.300","2.01%"
"Jul 30, 2018","121.615","128.715","129.065","120.255","-5.27%"
"Jul 28, 2018","128.375","128.375","128.375","128.375","0.00%"
"Jul 27, 2018","128.375","128.625","128.815","127.115","-0.48%"
"Jul 26, 2018","129.000","129.280","129.850","127.790","-0.11%"
"Jul 25, 2018","129.140","129.140","129.350","127.850","0.00%"
"Jul 24, 2018","129.140","129.260","129.540","127.850","-0.05%"
"Jul 23, 2018","129.200","129.200","129.530","128.060","0.00%"
"Jul 21, 2018","129.200","129.200","129.200","129.200","0.00%"
"Jul 20, 2018","129.200","128.900","129.200","128.460","0.12%"
"Jul 19, 2018","129.050","129.050","129.190","128.640","0.47%"
"Jul 18, 2018","128.450","127.820","128.550","126.640","0.47%"
"Jul 17, 2018","127.850","126.540","128.050","126.540","2.28%"
"Jul 16, 2018","125.000","122.500","125.190","122.500","2.67%"
"Jul 14, 2018","121.750","121.750","121.750","121.750","0.00%"
"Jul 13, 2018","121.750","122.320","122.320","121.100","-0.00%"
"Jul 12, 2018","121.755","121.725","121.765","120.435","0.01%"
"Jul 11, 2018","121.740","121.730","121.740","120.550","0.00%"
"Jul 10, 2018","121.735","121.735","121.785","121.055","0.00%"
"Jul 09, 2018","121.735","121.715","121.735","120.505","0.01%"
"Jul 07, 2018","121.725","121.725","121.725","121.725","0.00%"
"Jul 06, 2018","121.725","121.725","121.725","120.415","0.00%"
"Jul 05, 2018","121.725","121.725","121.725","121.115","0.00%"
"Jul 04, 2018","121.725","121.725","121.725","121.725","0.00%"
"Jul 03, 2018","121.725","121.705","121.855","120.515","0.01%"
"Jul 02, 2018","121.715","121.755","121.755","120.525","-0.02%"
"Jun 30, 2018","121.735","121.735","121.735","121.735","0.00%"
"Jun 29, 2018","121.735","121.735","121.735","120.505","0.00%"
"Jun 28, 2018","121.735","121.725","121.735","120.505","0.00%"
